Title,URL,Image Filename,Description,Authors,Publication Date,Article Type,Abstract
Rising temperatures reduce global wheat production,https://www.nature.com/articles/nclimate2470,nature_articles/images_2014/Rising temperatures reduce global wheat production.jpg,"This study—based on systematic testing of 30 different wheat crop models against field experiments—shows that many wheat models simulate yields well, but with reduced accuracy at higher temperatures. Extrapolation of the model ensemble response indicates that global wheat production will fall by 6% for each 1 °C increase in temperature.","S. Asseng, F. Ewert, Y. Zhu",No publication date,Letter,"Crop models are essential tools for assessing the threat of climate change to local and global food production1. Present models used to predict wheat grain yield are highly uncertain when simulating how crops respond to temperature2. Here we systematically tested 30 different wheat crop models of the Agricultural Model Intercomparison and Improvement Project against field experiments in which growing season mean temperatures ranged from 15 °C to 32 °C, including experiments with artificial heating. Many models simulated yields well, but were less accurate at higher temperatures. The model ensemble median was consistently more accurate in simulating the crop temperature response than any single model, regardless of the input information used. Extrapolating the model ensemble temperature response indicates that warming is already slowing yield gains at a majority of wheat-growing locations. Global wheat production is estimated to fall by 6% for each °C of further temperature increase and become more variable over space and time."
Barrier island bistability induced by biophysical interactions,https://www.nature.com/articles/nclimate2474,nature_articles/images_2014/Barrier island bistability induced by biophysical interactions.jpg,Barrier islands represent about 10% of the world’s coastline and perform many services including coastal protection. A study now shows that islands exhibit a bistable response to environmental change. Improved understanding of these mechanisms can help to predict future transitions in barrier island state.,"Orencio Durán Vinent, Laura J. Moore",No publication date,Letter,"Barrier islands represent about 10% of the world’s coastline1, sustain rich ecosystems, host valuable infrastructure and protect mainland coasts from storms. Future climate-change-induced increases in the intensity and frequency of major hurricanes2and accelerations in sea-level rise3,4will have a significant impact on barrier islands5,6—leading to increased coastal hazards and flooding—yet our understanding of island response to external drivers remains limited1,7,8. Here, we find that island response is intrinsically bistable and controlled by previously unrecognized dynamics: the competing, and quantifiable, effects of storm erosion, sea-level rise, and the aeolian and biological processes that enable and drive dune recovery. When the biophysical processes driving dune recovery dominate, islands tend to be high in elevation and vulnerability to storms is minimized. Alternatively, when the effects of storm erosion dominate, islands may become trapped in a perpetual state of low elevation and maximum vulnerability to storms, even under mild storm conditions. When sea-level rise dominates, islands become unstable and face possible disintegration. This quantification of barrier island dynamics is supported by data from the Virginia Barrier Islands, USA and provides a broader context for considering island response to climate change and the likelihood of potentially abrupt transitions in island state."
Adaptive potential of a Pacific salmon challenged by climate change,https://www.nature.com/articles/nclimate2473,nature_articles/images_2014/Adaptive potential of a Pacific salmon challenged by climate change.jpg,The viability of Pacific salmon populations could be compromised by the effects of climate change given their limited ability to adapt to increased temperatures.,"Nicolas J. Muñoz, Anthony P. Farrell, Bryan D. Neff",No publication date,Letter,"Pacific salmon provide critical sustenance for millions of people worldwide and have far-reaching impacts on the productivity of ecosystems. Rising temperatures now threaten the persistence of these important fishes1,2, yet it remains unknown whether populations can adapt. Here, we provide the first evidence that a Pacific salmon has both physiological and genetic capacities to increase its thermal tolerance in response to rising temperatures. In juvenile chinook salmon (Oncorhynchus tshawytscha), a 4 °C increase in developmental temperature was associated with a 2 °C increase in key measures of the thermal performance of cardiac function3,4. Moreover, additive genetic effects significantly influenced several measures of cardiac capacity, indicative of heritable variation on which selection can act. However, a lack of both plasticity and genetic variation was found for the arrhythmic temperature of the heart, constraining this upper thermal limit to a maximum of 24.5 ± 2.2 °C. Linking this constraint on thermal tolerance with present-day river temperatures and projected warming scenarios5, we predict a 17% chance of catastrophic loss in the population by 2100 based on the average warming projection, with this chance increasing to 98% in the maximum warming scenario. Climate change mitigation is thus necessary to ensure the future viability of Pacific salmon populations."
Supraglacial lakes on the Greenland ice sheet advance inland under warming climate,https://www.nature.com/articles/nclimate2463,nature_articles/images_2014/Supraglacial lakes on the Greenland ice sheet advance inland under warming climate.jpg,"Melt lakes form each year on the surface of the Greenland ice sheet but currently occur in regions with good subglacial drainage. An investigation of the impacts of the warming climate finds that the lakes will expand to higher elevations where ice-sheet drainage is not as efficient, which could result in enhanced lubrication and warming of the base of the ice.","A. A. Leeson, A. Shepherd, E. Rignot",No publication date,Letter,"Supraglacial lakes (SGLs) form annually on the Greenland ice sheet1,2and, when they drain, their discharge enhances ice-sheet flow3by lubricating the base4and potentially by warming the ice5. Today, SGLs tend to form within the ablation zone, where enhanced lubrication is offset by efficient subglacial drainage6,7. However, it is not clear what impact a warming climate will have on this arrangement. Here, we use an SGL initiation and growth8model to show that lakes form at higher altitudes as temperatures rise, consistent with satellite observations9. Our simulations show that in southwest Greenland, SGLs spread 103 and 110 km further inland by the year 2060 under moderate (RCP 4.5) and extreme (RCP 8.5) climate change scenarios, respectively, leading to an estimated 48–53% increase in the area over which they are distributed across the ice sheet as a whole. Up to half of these new lakes may be large enough to drain, potentially delivering water and heat to the ice-sheet base in regions where subglacial drainage is inefficient. In such places, ice flow responds positively to increases in surface water delivered to the bed through enhanced basal lubrication4,10,11and warming of the ice5, and so the inland advance of SGLs should be considered in projections of ice-sheet change."
Saturation-state sensitivity of marine bivalve larvae to ocean acidification,https://www.nature.com/articles/nclimate2479,nature_articles/images_2014/Saturation-state sensitivity of marine bivalve larvae to ocean acidification.jpg,Saturation state is shown to be the key component of marine carbonate chemistry affecting larval shell development and growth in two commercially important bivalve species.,"George G. Waldbusser, Burke Hales, Iria Gimenez",No publication date,Article,
Dramatically increasing chance of extremely hot summers since the 2003 European heatwave,https://www.nature.com/articles/nclimate2468,nature_articles/images_2014/Dramatically increasing chance of extremely hot summers since the 2003 European heatwave.jpg,"In 2003, Europe experienced a summer heatwave that resulted in tens of thousands of deaths. This study uses observation and model data to show that human influence is increasing the probability of extremely hot summers in Europe, with events now expected to occur twice a decade, compared with predictions of twice a century in the early 2000s.","Nikolaos Christidis, Gareth S. Jones, Peter A. Stott",No publication date,Letter,"Socio-economic stress from the unequivocal warming of the global climate system1could be mostly felt by societies through weather and climate extremes2. The vulnerability of European citizens was made evident during the summer heatwave of 2003 (refs3,4) when the heat-related death toll ran into tens of thousands5. Human influence at least doubled the chances of the event according to the first formal event attribution study6, which also made the ominous forecast that severe heatwaves could become commonplace by the 2040s. Here we investigate how the likelihood of having another extremely hot summer in one of the worst affected parts of Europe has changed ten years after the original study was published, given an observed summer temperature increase of 0.81 K since then. Our analysis benefits from the availability of new observations and data from several new models. Using a previously employed temperature threshold to define extremely hot summers, we find that events that would occur twice a century in the early 2000s are now expected to occur twice a decade. For the more extreme threshold observed in 2003, the return time reduces from thousands of years in the late twentieth century to about a hundred years in little over a decade."
Physiological plasticity increases resilience of ectothermic animals to climate change,https://www.nature.com/articles/nclimate2457,nature_articles/images_2014/Physiological plasticity increases resilience of ectothermic animals to climate change.jpg,"Acclimation, a form of physiological plasticity, is the capacity for organisms to physiologically adjust to temperature variation. Such changes can potentially reduce climate change impacts on animal populations. Research synthesizing the current state of knowledge about physiological plasticity in ectotherms shows that freshwater and marine animals seem to have a greater capacity for acclimation than terrestrial ones.","Frank Seebacher, Craig R. White, Craig E. Franklin",No publication date,Letter,"Understanding how climate change affects natural populations remains one of the greatest challenges for ecology and management of natural resources. Animals can remodel their physiology to compensate for the effects of temperature variation, and this physiological plasticity, or acclimation, can confer resilience to climate change1,2. The current lack of a comprehensive analysis of the capacity for physiological plasticity across taxonomic groups and geographic regions, however, constrains predictions of the impacts of climate change. Here, we assembled the largest database to date to establish the current state of knowledge of physiological plasticity in ectothermic animals. We show that acclimation decreases the sensitivity to temperature and climate change of freshwater and marine animals, but less so in terrestrial animals. Animals from more stable environments have greater capacity for acclimation, and there is a significant trend showing that the capacity for thermal acclimation increases with decreasing latitude. Despite the capacity for acclimation, climate change over the past 20 years has already resulted in increased physiological rates of up to 20%, and we predict further future increases under climate change. The generality of these predictions is limited, however, because much of the world is drastically undersampled in the literature, and these undersampled regions are the areas of greatest need for future research efforts."
A large ozone-circulation feedback and its implications for global warming assessments,https://www.nature.com/articles/nclimate2451,nature_articles/images_2014/A large ozone-circulation feedback and its implications for global warming assessments.jpg,Climate models include many processes that may be simplified to save computational time. This work shows that model representation of upper atmosphere ozone can impact on the projected climate sensitivity.,"Peer J. Nowack, N. Luke Abraham, John A. Pyle",No publication date,Letter,"State-of-the-art climate models now include more climate processes simulated at higher spatial resolution than ever1. Nevertheless, some processes, such as atmospheric chemical feedbacks, are still computationally expensive and are often ignored in climate simulations1,2. Here we present evidence that the representation of stratospheric ozone in climate models can have a first-order impact on estimates of effective climate sensitivity. Using a comprehensive atmosphere–ocean chemistry–climate model, we find an increase in global mean surface warming of around 1 °C (~20%) after 75 years when ozone is prescribed at pre-industrial levels compared with when it is allowed to evolve self-consistently in response to an abrupt 4×CO2forcing. The difference is primarily attributed to changes in long-wave radiative feedbacks associated with circulation-driven decreases in tropical lower stratospheric ozone and related stratospheric water vapour and cirrus cloud changes. This has important implications for global model intercomparison studies1,2in which participating models often use simplified treatments of atmospheric composition changes that are consistent with neither the specified greenhouse gas forcing scenario nor the associated atmospheric circulation feedbacks3,4,5."
Biological ramifications of climate-change-mediated oceanic multi-stressors,https://www.nature.com/articles/nclimate2441,nature_articles/images_2014/Biological ramifications of climate-change-mediated oceanic multi-stressors.jpg,"Modelling studies of climate change impacts on phytoplankton typically consider individual properties, which ignores the complex nature of the marine environment. This work undertakes regional assessments using multiple properties, including interactions, and finds shifts of <20–300% in phytoplankton physiological rates.","Philip W. Boyd, Sinikka T. Lennartz, Scott C. Doney",No publication date,Article,
Permafrost collapse after shrub removal shifts tundra ecosystem to a methane source,https://www.nature.com/articles/nclimate2446,nature_articles/images_2014/Permafrost collapse after shrub removal shifts tundra ecosystem to a methane source.jpg,"The release of carbon from decomposing Arctic soils, following permafrost thaw, is a potentially important climate feedback. Research now shows how shrub cover protects permafrost carbon reservoirs. Manipulative experiments show that the loss of shrub cover leads to a transition of the tundra to waterlogged methane-emitting conditions.","Ake L. Nauta, Monique M. P. D. Heijmans, Frank Berendse",No publication date,Letter,"Arctic tundra ecosystems are warming almost twice as fast as the global average1. Permafrost thaw and the resulting release of greenhouse gases from decomposing soil organic carbon have the potential to accelerate climate warming2,3. In recent decades, Arctic tundra ecosystems have changed rapidly4, including expansion of woody vegetation5,6, in response to changing climate conditions. How such vegetation changes contribute to stabilization or destabilization of the permafrost is unknown. Here we present six years of field observations in a shrub removal experiment at a Siberian tundra site. Removing the shrub part of the vegetation initiated thawing of ice-rich permafrost, resulting in collapse of the originally elevated shrub patches into waterlogged depressions within five years. This thaw pond development shifted the plots from a methane sink into a methane source. The results of our field experiment demonstrate the importance of the vegetation cover for protection of the massive carbon reservoirs stored in the permafrost and illustrate the strong vulnerability of these tundra ecosystems to perturbations. If permafrost thawing can more frequently trigger such local permafrost collapse, methane-emitting wet depressions could become more abundant in the lowland tundra landscape, at the cost of permafrost-stabilizing low shrub vegetation."
