Title,URL,Image Filename,Description,Authors,Publication Date,Article Type,Abstract
Increased global nitrous oxide emissions from streams and rivers in the Anthropocene,https://www.nature.com/articles/s41558-019-0665-8,nature_articles/images_2019/Increased global nitrous oxide emissions from streams and rivers in the Anthropocene.jpg,"N2O emissions from rivers have increased globally by a factor of four between 1900 and 2016, with emissions starting to decline since the early 2000s. Most riverine N2O emissions come from smaller streams, driven primarily by the use of nitrogen fertilizers in agriculture.","Yuanzhi Yao, Hanqin Tian, Josep G. Canadell",No publication date,Letter,"Emissions of nitrous oxide (N2O) from the world’s river networks constitute a poorly constrained term in the global N2O budget1,2. This N2O component was previously estimated as indirect emissions from agricultural soils3with large uncertainties4,5,6,7,8,9,10. Here, we present an improved model representation of nitrogen and N2O processes of the land–ocean aquatic continuum11constrained with an ensemble of 11 data products. The model–data framework provides a quantification for how changes in nitrogen inputs (fertilizer, deposition and manure), climate and atmospheric CO2concentration, and terrestrial processes have affected the N2O emissions from the world’s streams and rivers during 1900–2016. The results show a fourfold increase of global riverine N2O emissions from 70.4 ± 15.4 Gg N2O-N yr−1in 1900 to 291.3 ± 58.6 Gg N2O-N yr−1in 2016, although the N2O emissions started to decline after the early 2000s. The small rivers in headwater zones (lower than fourth-order streams) contributed up to 85% of global riverine N2O emissions. Nitrogen loads on headwater streams and groundwater from human activities, primarily agricultural nitrogen applications, play an important role in the increase of global riverine N2O emissions."
The fate of Madagascar’s rainforest habitat,https://www.nature.com/articles/s41558-019-0647-x,nature_articles/images_2019/The fate of Madagascar_s rainforest habitat.jpg,"Climate change and habitat loss threaten species survival in Madagascar. Ruffed lemurs, a representative species in the eastern rainforest, could lose 38–93% of their habitat from climate change and deforestation by 2070; protecting areas from deforestation is necessary to protect Malagasy biodiversity.","Toni Lyn Morelli, Adam B. Smith, Andrea L. Baden",No publication date,Article,"Madagascar has experienced extensive deforestation and overharvesting, and anthropogenic climate change will compound these pressures. Anticipating these threats to endangered species and their ecosystems requires considering both climate change and habitat loss effects. The genusVarecia(ruffed lemurs), which is composed of two Critically Endangered forest-obligate species, can serve as a status indicator of the biodiverse eastern rainforest of Madagascar. Here, we combined decades of research to show that the suitable habitat for ruffed lemurs could be reduced by 29–59% from deforestation, 14–75% from climate change (representative concentration pathway 8.5) or 38–93% from both by 2070. If current protected areas avoid further deforestation, climate change will still reduce the suitable habitat by 62% (range: 38–83%). If ongoing deforestation continues, the suitable habitat will decline by 81% (range: 66–93%). Maintaining and enhancing the integrity of protected areas, where rates of forest loss are lower, will be essential for ensuring persistence of the diversity of the rapidly diminishing Malagasy rainforests."
Global and regional impacts differ between transient and equilibrium warmer worlds,https://www.nature.com/articles/s41558-019-0658-7,nature_articles/images_2019/Global and regional impacts differ between transient and equilibrium warmer worlds.jpg,"It has been assumed that spatial patterns of warming are the same under transient and equilibrium scenarios. Analysis of a multi-model ensemble shows that this is not the case, with greater land warming for a transient state, increasing risks that need to be considered in adaptation planning.","Andrew D. King, Todd P. Lane, Josephine R. Brown",No publication date,Letter,"There has recently been interest in understanding the differences between specific levels of global warming, especially the Paris Agreement limits of 1.5 °C and 2 °C above pre-industrial levels. However, different model experiments1,2,3have been used in these analyses under varying rates of increase in global-average temperature. Here, we use climate model simulations to show that, for a given global temperature, most land is significantly warmer in a rapidly warming (transient) case than in a quasi-equilibrium climate. This results in more than 90% of the world’s population experiencing a warmer local climate under transient global warming than equilibrium global warming. Relative to differences between the 1.5 °C and 2 °C global warming limits, the differences between transient and quasi-equilibrium states are substantial. For many land regions, the probability of very warm seasons is at least two times greater in a transient climate than in a quasi-equilibrium equivalent. In developing regions, there are sizable differences between transient and quasi-equilibrium climates that underline the importance of explicitly framing projections. Our study highlights the need to better understand differences between future climates under rapid warming and quasi-equilibrium conditions for the development of climate change adaptation policies. Yet, current multi-model experiments1,4are not designed for this purpose."
Phenology of nocturnal avian migration has shifted at the continental scale,https://www.nature.com/articles/s41558-019-0648-9,nature_articles/images_2019/Phenology of nocturnal avian migration has shifted at the continental scale.jpg,"Climate change affects the timing of bird migration, which can lead to mismatch with resource availability. Migration occurred earlier in spring and autumn in the United States during the past 24 years; warming led to later arrival in the western Unites States and earlier arrival in the rest of the country.","Kyle G. Horton, Frank A. La Sorte, Andrew Farnsworth",No publication date,Letter,"Climate change induced phenological shifts in primary productivity result in trophic mismatches for many organisms1,2,3,4, with broad implications for ecosystem structure and function. For birds that have a synchronized timing of migration with resource availability, the likelihood that trophic mismatches may generate a phenological response in migration timing increases with climate change5. Despite the importance of a holistic understanding of such systems at large spatial and temporal scales, particularly given a rapidly changing climate, analyses are few, primarily because of limitations in the access to appropriate data. Here we use 24 years of remotely sensed data collected by weather surveillance radar to quantify the response of a nocturnal avian migration system within the contiguous United States to changes in temperature. The average peak migration timing advanced in spring and autumn, and these changes were generally more rapid at higher latitudes. During spring and autumn, warmer seasons were predictive of earlier peak migration dates. Decadal changes in surface temperatures predicted spring changes in migratory timing, with greater warming related to earlier arrivals. This study represents one of the first system-wide examinations during two seasons and comprises measures from hundreds of species that describe migratory timing across a continent. Our findings provide evidence of spatially dynamic phenological shifts that result from climate change."
The Pacific Decadal Oscillation less predictable under greenhouse warming,https://www.nature.com/articles/s41558-019-0663-x,nature_articles/images_2019/The Pacific Decadal Oscillation less predictable under greenhouse warming.jpg,"The Pacific Decadal Oscillation (PDO), a natural climate cycle, alters global climate and influences ecosystems as it varies between positive and negative phases. PDO predictability is reduced under warming as intensified ocean stratification shortens its lifespan and curtails its amplitude.","Shujun Li, Lixin Wu, Xiaohui Ma",No publication date,Letter,"The Pacific Decadal Oscillation (PDO) is the most prominent form of decadal variability over the North Pacific, characterized by its horseshoe-shaped sea surface temperature anomaly pattern1,2. The PDO exerts a substantial influence on marine ecosystems, fisheries and agriculture1,2,3. Through modulating global mean temperature, the phase shift of the PDO at the end of the twentieth century is suggested to be an influential factor in the recent surface warming hiatus4,5. Determining the predictability of the PDO in a warming climate is therefore of great importance6. By analysing future climate under different emission scenarios simulated by the Coupled Model Intercomparison Project phase 5 (ref.7), we show that the prediction lead time and the associated amplitude of the PDO decrease sharply under greenhouse warming conditions. This decrease is largely attributable to a warming-induced intensification of oceanic stratification, which accelerates the propagation of Rossby waves, shortening the PDO lifespan and suppressing its amplitude by limiting its growth time. Our results suggest that greenhouse warming will make prediction of the PDO more challenging, with far-reaching ramifications."
Changing risks of simultaneous global breadbasket failure,https://www.nature.com/articles/s41558-019-0600-z,nature_articles/images_2019/Changing risks of simultaneous global breadbasket failure.jpg,"The risk of concurrent climate extremes affecting breadbasket regions is increasing with climate change, with wheat, maize and soybean crops at risk of simultaneous failure. Correlation between the regions and climate extremes should be considered to ensure food security in the future.","Franziska Gaupp, Jim Hall, Simon Dadson",No publication date,Letter,"The risk of extreme climatic conditions leading to unusually low global agricultural production is exacerbated if more than one global ‘breadbasket’ is exposed at the same time. Such shocks can pose a risk to the global food system, amplifying threats to food security, and could potentially trigger other systemic risks1,2. While the possibility of climatic extremes hitting more than one breadbasket has been postulated3,4,little is known about the actual risk. Here we combine region-specific data on agricultural production with spatial statistics of climatic extremes to quantify the changing risk of low production for the major food-producing regions (breadbaskets) over time. We show an increasing risk of simultaneous failure of wheat, maize and soybean crops across the breadbaskets analysed. For rice, risks of simultaneous adverse climate conditions have decreased in the recent past, mostly owing to solar radiation changes favouring rice growth. Depending on the correlation structure between the breadbaskets, spatial dependence between climatic extremes globally can mitigate or aggravate the risks for the global food production. Our analysis can provide the basis for more efficient allocation of resources to contingency plans and/or strategic crop reserves that would enhance the resilience of the global food system."
Coal and carbonization in sub-Saharan Africa,https://www.nature.com/articles/s41558-019-0649-8,nature_articles/images_2019/Coal and carbonization in sub-Saharan Africa.jpg,"GHG emissions in sub-Saharan African countries are comparatively low, but continued economic and population growth could transform the region into a major emitter. Here, it is shown that the transportation sector has driven emissions in the past few decades, but new coal investments are likely to be a major driver in the near future.","Jan Christoph Steckel, Jérôme Hilaire, Ottmar Edenhofer",No publication date,Article,"Economic development in sub-Saharan Africa has increased carbon emissions and will continue to do so. However, changes in emissions in the past few decades and their underlying drivers are not well understood. Here we use a Kaya decomposition to show that rising carbon intensity has played an increasingly important role in emission growth in sub-Saharan Africa since 2005. These changes have mainly been driven by the increasing use of oil, especially in the transportation sector. Combining investment data in the power sector with economic and population projections, we find that investments in new coal-fired capacity may become a major driver of future carbonization. Our results highlight the importance of making low-carbon technologies available and financially attractive to sub-Saharan African countries to avoid a lock-in of emission-intensive energy use patterns."
Event attribution and partisanship shape local discussion of climate change after extreme weather,https://www.nature.com/articles/s41558-019-0641-3,nature_articles/images_2019/Event attribution and partisanship shape local discussion of climate change after extreme weather.jpg,"Extreme weather events may raise public awareness of climate change. This comparative-case analysis shows that single events had limited impact on climate change discussion, but this was more common in Democratic communities and for weather events with a more certain attribution to climate change.","Hilary Boudet, Leanne Giordono, Hannah Whitley",No publication date,Article,"Extreme weather events may provide opportunities to raise public awareness and spur action to address climate change. Using concepts from the study of social movements, we conducted a systematic comparative-case analysis of 15 communities that experienced extreme weather events in the United States between 2012 and 2015 to identify under what conditions, and through what mechanisms, the experience of an extreme weather event generates community discussion and collective action linked to climate change. Although collective action related to climate change was rare post-event, we observed community discussion about the event’s link to climate change in slightly more than half of the cases, especially in Democratic and/or highly educated communities that experienced events for which attribution to climate change is more certain. Our results suggest that, although a single event may have limited impact on discussion or collective action about climate change, partisanship and an event’s attribution to climate change matter."
Amplified Rossby waves enhance risk of concurrent heatwaves in major breadbasket regions,https://www.nature.com/articles/s41558-019-0637-z,nature_articles/images_2019/Amplified Rossby waves enhance risk of concurrent heatwaves in major breadbasket regions.jpg,"A large-scale meandering in the jet stream can cause simultaneous heat extremes in distant regions. When Rossby waves with wavenumbers 5 and 7 dominate circulation, there is an increased risk of heat extremes across major food-producing regions, raising the potential of multiple crop failures.","Kai Kornhuber, Dim Coumou, Radley M. Horton",No publication date,Letter,"In an interconnected world, simultaneous extreme weather events in distant regions could potentially impose high-end risks for societies1,2. In the mid-latitudes, circumglobal Rossby waves are associated with a strongly meandering jet stream and might cause simultaneous heatwaves and floods across the northern hemisphere3,4,5,6. For example, in the summer of 2018, several heat and rainfall extremes occurred near-simultaneously7. Here we show that Rossby waves with wavenumbers 5 and 7 have a preferred phase position and constitute recurrent atmospheric circulation patterns in summer. Those patterns can induce simultaneous heat extremes in specific regions: Central North America, Eastern Europe and Eastern Asia for wave 5, and Western Central North America, Western Europe and Western Asia for wave 7. The probability of simultaneous heat extremes in these regions increases by a factor of up to 20 for the most severe heat events when either of these two waves dominate the circulation. Two or more weeks per summer spent in the wave-5 or wave-7 regime are associated with 4% reductions in crop production when averaged across the affected regions, with regional decreases of up to 11%. As these regions are important for global food production, the identified teleconnections have the potential to fuel multiple harvest failures, posing risks to global food security8."
The impact of high ambient temperatures on delivery timing and gestational lengths,https://www.nature.com/articles/s41558-019-0632-4,nature_articles/images_2019/The impact of high ambient temperatures on delivery timing and gestational lengths.jpg,"Hot weather can cause early childbirth, meaning shorter gestation. Daily US birth-rate data from 1969 to 1988 show that deliveries increased on hot days and that those births occurred up to two weeks early. Around 25,000 infants were born early each year, representing over 150,000 gestational days lost annually.","Alan Barreca, Jessamyn Schaller",No publication date,Article,"Evidence suggests that heat exposure increases delivery risk for pregnant women. Acceleration of childbirth leads to shorter gestation, which has been linked to later health and cognitive outcomes. However, estimates of the aggregate gestational losses resulting from hot weather are lacking in the literature. Here, we use estimated shifts in daily county birth rates to quantify the gestational losses associated with heat in the United States from 1969 to 1988. We find that extreme heat causes an increase in deliveries on the day of exposure and on the following day and show that the additional births were accelerated by up to two weeks. We estimate that an average of 25,000 infants per year were born earlier as a result of heat exposure, with a total loss of more than 150,000 gestational days annually. Absent adaptation, climate projections suggest additional losses of 250,000 days of gestation per year by the end of the century."
