Title,URL,Image Filename,Description,Authors,Publication Date,Article Type,Abstract
Global warming overshoots increase risks of climate tipping cascades in a network model,https://www.nature.com/articles/s41558-022-01545-9,nature_articles/images_2022/Global warming overshoots increase risks of climate tipping cascades in a network model.jpg,Temporarily exceeding temperature targets could increase risk of crossing tipping-element thresholds. This study considers a range of overshoot scenarios in a stylized network model and shows that overshoots increase tipping risks by up to 72% compared with remaining within targets.,"Nico Wunderling, Ricarda Winkelmann, Jonathan F. Donges",No publication date,Article,"Current policies and actions make it very likely, at least temporarily, to overshoot the Paris climate targets of 1.5–<2.0 °C above pre-industrial levels. If this global warming range is exceeded, potential tipping elements such as the Greenland Ice Sheet and Amazon rainforest may be at increasing risk of crossing critical thresholds. This raises the question of how much this risk is amplified by increasing overshoot magnitude and duration. Here we investigate the danger for tipping under a range of temperature overshoot scenarios using a stylized network model of four interacting climate tipping elements. Our model analysis reveals that temporary overshoots can increase tipping risks by up to 72% compared with non-overshoot scenarios, even when the long-term equilibrium temperature stabilizes within the Paris range. Our results suggest that avoiding high-end climate risks is possible only for low-temperature overshoots and if long-term temperatures stabilize at or below today’s levels of global warming."
Reduced CO2 uptake and growing nutrient sequestration from slowing overturning circulation,https://www.nature.com/articles/s41558-022-01555-7,nature_articles/images_2022/Reduced CO2 uptake and growing nutrient sequestration from slowing overturning circulation.jpg,"Ocean carbon uptake could be affected by changes in circulation. This modelling study shows that meridional overturning circulation slowdown increases deep-ocean storage via the biological pump but decreases carbon uptake via the solubility pump, with a net reduction in oceanic uptake of CO2.","Y. Liu, J. K. Moore, W. L. Wang",No publication date,Article,"Current Earth system models (ESMs) project dramatic slowing (28–42% by 2100) of Atlantic Meridional Overturning Circulation and Southern Meridional Overturning Circulation (SMOC) across a range of climate scenarios, with a complete shutdown of SMOC possible by year 2300. Slowing meridional overturning circulation (MOC) differentially impacts the ocean biological and solubility carbon pumps, leaving the net impact on ocean carbon uptake uncertain. Here using a suite of ESMs, we show that slowing MOC reduces anthropogenic carbon uptake by the solubility pump but increases deep-ocean storage of carbon and nutrients by the biological pump. The net effect reduces ocean uptake of anthropogenic CO2. The deep-ocean nutrient sequestration will increasingly depress global-scale, marine net primary production over time. MOC slowdown represents a positive feedback that could extend or intensify peak-warmth climate conditions on multi-century timescales."
Unprecedented droughts are expected to exacerbate urban inequalities in Southern Africa,https://www.nature.com/articles/s41558-022-01546-8,nature_articles/images_2022/Unprecedented droughts are expected to exacerbate urban inequalities in Southern Africa.jpg,"The socio-political factors influencing societal responses to drought are often overlooked in risk assessments. Here, a social-environmental scenario that bridges natural and social sciences is used to analyse responses of a Southern African city to unprecedented drought.","Maria Rusca, Elisa Savelli, Gabriele Messori",No publication date,Analysis,"Climate change-related drought risks are intensifying in many urban areas, making stakes particularly high in contexts of severe vulnerability. Yet, how social power, differential agency and economic visions will shape societal responses to droughts remains poorly understood. Here, we build a social-environmental scenario of the possible impacts of an unprecedented drought in Maputo, which epitomizes a Southern African city with highly uneven development and differential vulnerability across urban areas. To build the scenario, we draw on theoretical insights from critical social sciences and take Cape Town (2015–2017) as a case-in-point of a locally unprecedented drought in Southern Africa. We show that future droughts in Southern Africa will probably polarize urban inequalities, generate localized public health crises and regress progress in water access. Climate policies must address these inequalities and develop equitable water distribution and conservation measures to ensure sustainable and inclusive adaptation to future droughts."
Nation-wide mapping of tree-level aboveground carbon stocks in Rwanda,https://www.nature.com/articles/s41558-022-01544-w,nature_articles/images_2022/Nation-wide mapping of tree-level aboveground carbon stocks in Rwanda.jpg,"The authors conduct a national inventory on individual tree carbon stocks in Rwanda using aerial imagery and deep learning. Most mapped trees are located in farmlands; new methods allow partitioning to any landscape categories, effective planning and optimization of carbon sequestration and the economic benefits of trees.","Maurice Mugabowindekwe, Martin Brandt, Rasmus Fensholt",No publication date,Article,"Trees sustain livelihoods and mitigate climate change but a predominance of trees outside forests and limited resources make it difficult for many tropical countries to conduct automated nation-wide inventories. Here, we propose an approach to map the carbon stock of each individual overstory tree at the national scale of Rwanda using aerial imagery from 2008 and deep learning. We show that 72% of the mapped trees are located in farmlands and savannas and 17% in plantations, accounting for 48.6% of the national aboveground carbon stocks. Natural forests cover 11% of the total tree count and 51.4% of the national carbon stocks, with an overall carbon stock uncertainty of 16.9%. The mapping of all trees allows partitioning to any landscapes classification and is urgently needed for effective planning and monitoring of restoration activities as well as for optimization of carbon sequestration, biodiversity and economic benefits of trees."
Greater evolutionary divergence of thermal limits within marine than terrestrial species,https://www.nature.com/articles/s41558-022-01534-y,nature_articles/images_2022/Greater evolutionary divergence of thermal limits within marine than terrestrial species.jpg,"The authors quantify the thermal tolerance of 305 populations from 61 taxa by meta-analysis. They reveal strong population-level differentiation in marine and intertidal taxa, but not terrestrial or freshwater taxa, and highlight the need to consider such variation in climate vulnerability predictions.","Matthew Sasaki, Jordanna M. Barley, Brian S. Cheng",No publication date,Analysis,"There is considerable uncertainty regarding which ecosystems are most vulnerable to warming. Current understanding of organismal sensitivity is largely centred on species-level assessments that do not consider variation across populations. Here we used meta-analysis to quantify upper thermal tolerance variation across 305 populations from 61 terrestrial, freshwater, marine and intertidal taxa. We found strong differentiation in heat tolerance across populations in marine and intertidal taxa but not terrestrial or freshwater taxa. This is counter to the expectation that increased connectivity in the ocean should reduce intraspecific variation. Such adaptive differentiation in the ocean suggests there may be standing genetic variation at the species level to buffer climate impacts. Assessments of vulnerability to warming should account for variation in thermal tolerance among populations (or the lack thereof) to improve predictions about climate vulnerability."
Adaptive emission reduction approach to reach any global warming target,https://www.nature.com/articles/s41558-022-01537-9,nature_articles/images_2022/Adaptive emission reduction approach to reach any global warming target.jpg,"Accurately assessing emissions reductions for various greenhouse gases to stay within temperature targets is important. Here, an adaptive approach, based solely on observations and not on model projections, allows quantification of emissions reductions required to achieve any temperature target.","Jens Terhaar, Thomas L. Frölicher, Fortunat Joos",No publication date,Article,"The parties of the Paris Agreement agreed to keep global warming well below 2 °C and pursue efforts to limit it to 1.5 °C. A global stocktake is instituted to assess the necessary emissions reductions every 5 years. Here we propose an adaptive approach to successively quantify global emissions reductions that allow reaching a temperature target within ±0.2 °C, solely based on regularly updated observations of past temperatures, radiative forcing and emissions statistics, and not on climate model projections. Testing this approach using an Earth system model of intermediate complexity demonstrates that defined targets can be reached following a smooth emissions pathway. Its adaptive nature makes the approach robust against inherent uncertainties in observational records, climate sensitivity, effectiveness of emissions reduction implementations and the metric to estimate CO2equivalent emissions. This approach allows developing emission trajectories for CO2, CH4, N2O and other agents that iteratively adapt to meet a chosen temperature target."
Younger trees in the upper canopy are more sensitive but also more resilient to drought,https://www.nature.com/articles/s41558-022-01528-w,nature_articles/images_2022/Younger trees in the upper canopy are more sensitive but also more resilient to drought.jpg,The authors analyse the impacts of drought on tree growth for various species of various ages to assess the influences of forest demographic shift on future drought responses. The increasing proportion of young trees showing greater growth reduction to drought raises concern on future carbon storage.,"Tsun Fung Au, Justin T. Maxwell, Jonathan Lenoir",No publication date,Article,"As forest demographics are altered by the global decline of old trees and reforestation efforts, younger trees are expected to have an increasingly important influence on carbon sequestration and forest ecosystem functioning. However, the relative resilience of these younger trees to climate change stressors is poorly understood. Here we examine age-dependent drought sensitivity of over 20,000 individual trees across five continents and show that younger trees in the upper canopy layer have larger growth reductions during drought. Angiosperms show greater age differences than gymnosperms, and age-dependent sensitivity is more pronounced in humid climates compared with more arid regions. However, younger canopy-dominant trees also recover more quickly from drought. The future combination of increased drought events and an increased proportion of younger canopy-dominant trees suggests a larger adverse impact on carbon stocks in the short term, while the higher resilience of younger canopy-dominant trees could positively affect carbon stocks over time."
Reconciling disagreement on global river flood changes in a warming climate,https://www.nature.com/articles/s41558-022-01539-7,nature_articles/images_2022/Reconciling disagreement on global river flood changes in a warming climate.jpg,"Climate change is expected to intensify the hydrological cycle, but how this translates into changes in river floods is not clear. Here, the authors show that changes in river flood discharge differ between flood types, with increases in rainfall-induced floods and decreases in snow-related floods.","Shulei Zhang, Liming Zhou, Yongjiu Dai",No publication date,Article,"An intensified hydrological cycle with global warming is expected to increase the intensity and frequency of extreme precipitation events. However, whether and to what extent the enhanced extreme precipitation translates into changes in river floods remains controversial. Here we demonstrate that previously reported unapparent or even negative responses of river flood discharge (defined as annual maximum discharge) to extreme precipitation increases are largely caused by mixing the signals of floods with different generating mechanisms. Stratifying by flood type, we show a positive response of rainstorm-induced floods to extreme precipitation increases. However, this response is almost entirely offset by concurrent decreases in snow-related floods, leading to an overall unapparent change in total global floods in both historical observations and future climate projections. Our findings highlight an increasing rainstorm-induced flood risk under warming and the importance of distinguishing flood-generating mechanisms in assessing flood changes and associated social-economic and environmental risks."
Policy sequencing towards carbon pricing among the world’s largest emitters,https://www.nature.com/articles/s41558-022-01538-8,nature_articles/images_2022/Policy sequencing towards carbon pricing among the world_s largest emitters.jpg,"The adoption of some climate policies can facilitate the subsequent adoption of other policies, which is referred to as policy sequencing. Across sectors and countries, policy sequences often play an important role in the adoption and stringency of carbon pricing.","Manuel Linsenmeier, Adil Mohommad, Gregor Schwerhoff",No publication date,Brief Communication,Policy sequencing to gradually increase the stringency of policies to reduce greenhouse gas emissions has become an influential narrative without much evidence beyond selected policies and sectors or case studies of individual countries. Here we provide international and cross-sectoral evidence on climate policy sequences for the G20 economies and 18 other large emitters. We find that policy sequences towards carbon pricing are a consistent pattern in the data.
Growing polarization around climate change on social media,https://www.nature.com/articles/s41558-022-01527-x,nature_articles/images_2022/Growing polarization around climate change on social media.jpg,"Polarization and the resulting political deadlock have become key barriers to more ambitious climate action. Using Twitter data between Conferences of the Parties, this research identifies a trend of increasing polarization driven by growing right-wing activity alongside accusations of political hypocrisy.","Max Falkenberg, Alessandro Galeazzi, Andrea Baronchelli",No publication date,Article,"Climate change and political polarization are two of the twenty-first century’s critical socio-political issues. Here we investigate their intersection by studying the discussion around the United Nations Conference of the Parties on Climate Change (COP) using Twitter data from 2014 to 2021. First, we reveal a large increase in ideological polarization during COP26, following low polarization between COP20 and COP25. Second, we show that this increase is driven by growing right-wing activity, a fourfold increase since COP21 relative to pro-climate groups. Finally, we identify a broad range of ‘climate contrarian’ views during COP26, emphasizing the theme of political hypocrisy as a topic of cross-ideological appeal; contrarian views and accusations of hypocrisy have become key themes in the Twitter climate discussion since 2019. With future climate action reliant on negotiations at COP27 and beyond, our results highlight the importance of monitoring polarization and its impacts in the public climate discourse."
